ที่	tʰîː	at	เขาได้รับรางวัลที่ 1 ในการประกวดวาดภาพ
หลาน	lǎːn	grandchild	ภาพอาการงอนง้อระหว่าง 2 น้าหลาน จึงปรากฏลางๆ ออกมา
จนกว่า	tɕon kwàː	until, till, as far as	ข้อมูลที่บันทึกบนดิสก์จะเก็บไว้ได้จนกว่าจะมีการอัดข้อมูลใหม่ทับลงไป
ความเชื่อ	kʰwaːm tɕʰɯ̂ːa	faith	คนไทยมีความเชื่อในเรื่องผีสางเทวดามาช้านานแล้ว
ทฤษฎี	tʰrít sà diː	theory	รูปแบบโครงร่างของทฤษฎีทางภาษาศาสตร์จะเป็นอย่างไรนั้น จะต้องทดสอบกันอีกมาก
พระราชบัญญัติ	pʰráʔ râːt tɕʰá ban jàt	act; bill	พระราชบัญญัติว่าด้วยธุรกรรมทางอิเล็กทรอนิกส์ออกในเดือนธันวาคม พ.ศ. 2544
ใส	sǎj	clear	เด็กสาวนั่งส่งเสียงหวานใส ครวญเพลงคลอเคล้ากับระนาดเอกด้วยท่าทีเอียงอาย
เรียบ	rîːap	smooth; orderly	กระเพาะปัสสาวะเป็นอวัยวะที่มีผนังเป็นกล้ามเนื้อเรียบ อยู่หลังหัวเหน่า
เปรียบเทียบ	prìːap tʰîːap	compare	เราจะตีความหมายงานศิลปะได้โดยเปรียบเทียบกับงานของผู้อื่นซึ่งทำให้เราสามารถวัดคุณค่าของงานชิ้นนั้นได้
เงื่อนไข	ŋɯ̂ːan kʰǎj	condition	เรามีเงื่อนไขทางสังคมว่าต้องเคารพในสิ่งของของผู้อื่น
ประชา	pràʔ tɕʰaː	citizens; people	ชาวประชาต่างสรรเสริญรัฐบาลที่ทำให้เศรฐกิจดีขึ้น
ประดับ	pràʔ dàp	decorate; adorn	เธอเก็บดอกไม้ป่าเหล่านี้มาประดับโต๊ะอาหาร
เตือน	tɯːan	warn	พ่อแม่เตือนลูกให้ระวังอันตรายระหว่างที่ไปเที่ยวป่า
บวก	bùːak	add; plus	เรื่องนี้เราควรพิจารณาทั้งแง่บวกและแง่ลบ
เหรอ	rɤ̌ː	really?	เธอใช้เงินหมดแล้วเหรอ ตั้งสองหมื่นบาท
นับถือ	náp tʰɯ̌ː	respect	คนไทยนับถือพระเจ้าสิทธัตถะ
เจ็บ	tɕèp	pain; to hurt	ความโหดร้ายที่เขากระทำกับผม ทำให้ผมเจ็บมานานหลายปี
คลอง	kʰlɔːŋ	canal	คลองแสนแสบเดี๋ยวนี้ไม่เหมือนเมื่อก่อน
เปอร์เซ็นต์	pɤː sen	percent	โอกาสที่พรรคจะปักฐานทางการเมืองบนสนามท้องถิ่นมีเปอร์เซ็นต์ค่อนข้างมากทีเดียว
อก	ʔòk	breast; chest	การตกจากที่สูงและหกล้มรุนแรงอาจทำอันตรายต่อแนวอกของกระดูก
พลิก	pʰlík	turn; turn over	ถ้าต้องการอ่านเรื่องนั้นเรื่องนี้เพิ่มเติมแล้วให้พลิกหน้าไปยังหน้า 9 เพื่ออ่านเพิ่มเติมได้
ไหว	wǎj	shake; tremble; be able	พอมีเสียงระเบิดขึ้นเรือนก็ไหวไปทั้งหลัง
เพชร	pʰét	diamond	ฉันชอบเพชรรูปหยดน้ำ มันดูมีเสน่ห์ดี
ถึงกับ	tʰɯ̌ŋ kàp	so as; so that; as the result	ผู้ป่วยโรคจิตบางคนไม่ยอมไปพบแพทย์ การขัดขืนบางครั้งรุนแรงถึงกับใช้กำลังกาย
ห่วง	hùːaŋ	worried	หล่อนเห็นชายสามสี่คนแบกโซ่และห่วงเหล็กตรงเข้ามา
ตัวแทน	tuːa tʰɛːn	agent; representative; replacement	เมื่อสัปดาห์ที่ผ่านมามีการเจรจาระหว่างตัวแทนของรัฐบาลกับกลุ่มสมัชชาคนจนในเรื่องการขอขึ้นราคาข้าว
กู	kuː	I	กูกำลังฝันดีว่ากำลังบินอยู่พอดี
ธนาคาร	tʰá naː kʰaːn	bank	ธนาคารชาติให้ขึ้นดอกเบี้ย แต่ไม่มีการดำเนินการตั้งแต่ปลายปี 2532
นำเข้า	nam kʰâw	import	บริษัทเรานำเข้าสินค้าประเภทนี้เป็นรายแรกของเมืองไทย
ตอนนั้น	tɔːn nán	then	ในอดีตนักศึกษา มธ. ตั้งเวทีอภิปรายตรงหน้าตึกเอนกประสงค์ซึ่งตอนนั้นยังเป็นเพียงตึกสองชั้นต่อเนื่องกับตึกโดม
ปรึกษา	prɯ̀k sǎː	consult	คนไทยเริ่มปรึกษาจิตแพทย์มากยิ่งขึ้น
ทดสอบ	tʰót sɔ̀ːp	test	นักวิทยาศาสตร์ทดสอบยาที่ทำขึ้นว่ามีผลข้างเคียงหรือไม่
ชำระ	tɕʰam ráʔ	pay off debts; clean	ผู้เช่าไม่ได้ชำระค่าเช่าบ้านเป็นเวลาสองเดือนแล้ว
ลบ	lóp	delete; minus	ถ้าลบความรู้สึกเหล่านี้ไปได้ คุณก็จะมีความสุข
ยักษ์	ják	giant	ในละครของเรามียักษ์มาร่ายเวทด้วย
ลงทุน	loŋ tʰun	invest	รัฐบาลนำเงิน 1 ล้านปอนด์มาลงทุนสร้างทางรถไฟสายลพบุรี-อุตรดิตถ์
วัง	waŋ	palace; to encircle	คนที่ทำงานในวังล้วนเป็นข้าราชบริพารทั้งนั้น
ทั้งนั้น	tʰáŋ nán	all; every	ทุกคนล้วนแล้วแต่เป็นเพื่อนกันทั้งนั้น
เท่าไร	tʰâw raj	how much; how many	ยิ่งเราเข้าใจประสบการณ์ของมนุษย์มากขึ้นเท่าไร เราก็ยิ่งเข้าใจอธิบาย และทำนายพฤติกรรมของมนุษย์ได้มากเท่านั้น
ฉะนั้น	tɕʰàʔ nán	thereupon; therefore	เธอเป็นคนพูดตรง ฉะนั้นอย่าไปถือสาอะไรเลย
เทคนิค	tʰék nìk	technique	การสร้างผลงานชิ้นนี้เป็นเทคนิคที่แทบไม่น่าเชื่อว่าจะทำได้ถึงรายละเอียดเช่นนี้
ความเร็ว	kʰwaːm rew	speed	รถแล่นด้วยความเร็ว 120 กิโลเมตรต่อชั่วโมง
ดัน	dan	push	ผู้จัดการฝ่ายบุคคลดันให้ผู้ช่วยหัวหน้าฝ่ายการผลิตขึ้นเป็นหัวหน้าฝ่ายการผลิต
บันได	ban daj	staircase	ในการขึ้นบันไดเราควรชิดขวา
แต่ว่า	tɛ̀ː wâː	however; but	เขาได้แต่งงานกับคนที่เขารัก แต่ว่าเขาไม่มีความสุขเพราะผู้หญิงคนนั้นไม่ได้รักเขา
วิทยา	wít tʰá jaː	science; knowledge	การศึกษาเรื่องศาสนาสามารถศึกษาได้ทั้งแนววิทยาศาสตร์ และแนวแห่งความเชื่อเกี่ยวกับหลักทางปรัชญา
เดี๋ยว	dǐːaw	soon; shortly	ลูกขออนุญาตดูทีวีสักเดี๋ยวก่อนเข้านอน
พระเอก	pʰráʔ ʔèːk	hero; leading actor	ม.จ.หญิงวิภาวดีรังสิตนำบุคลิกภาพของเจ้านายหนุ่มองค์นี้ไปสร้างเป็นพระเอกในนวนิยายเรื่องปริศนาอันลือลั่นโด่งดัง
สวม	sǔːam	wear	ทันทีที่ผู้บริหารคนเก่าลาออกก็มีคนใหม่เข้ามาสวมตำแหน่งทันที
ปู	puː	crab	พ่อแม่กำลังปูที่นอนให้คู่บ่าวสาว
ตรา	traː	brand, stamp, inprint	ตระกูลโอวเป็นเจ้าของยาหม่องตราเสือและหนังสือพิมพ์จีนทั้งในสิงคโปร์ฮ่องกงและประเทศไทย
แม้กระทั่ง	mɛ́ː kràʔ tʰâŋ	even if	วันนี้งานยุ่งมาก แม้กระทั่งเวลากินยังแทบจะไม่มี
มั้ย	máj	question particle	ในความฝัน คุณว่าคุณถูกยิงที่หน้าผาก แสกหน้า ตายคาที่ใช่มั้ย
ทอด	tʰɔ̂ːt	fried	เขานำเรือมาจอดทอดสมอไว้หน้าหาด ใกล้กระท่อม
เหลือง	lɯ̌ːaŋ	yellow	คนที่เป็นแม่ขอแต่เพียงได้เกาะชายผ้าเหลืองของลูกก็เหมือนได้ขึ้นสวรรค์
เมตร	mêːt	meter	ตลิ่งลำน้ำชีชัน และสูงมากราวๆ 20 เมตร
ถุง	tʰǔŋ	bag	ผมต้องทำหน้าที่ทุกอย่างตั้งแต่เขียนบิล เก็บเงิน ทอนเงิน เอาหนังสือใส่ถุง ในบางครั้งยังต้องคอยตอบคำถามของลูกค้าคนอื่นๆ
แข็งแรง	kʰɛ̌ŋ rɛːŋ	strong	ลูกชายของเขาดูแข็งแรงขึ้นหลังจากที่ไปเข้าคอร์สเพาะกายมา
ตำหนิ	tam nìʔ	blame; condemn	เขาไม่สนใจว่าเธอจะเป็นผู้หญิงมีตำหนิมาก่อน
มาตรการ	mâːt tràʔ kaːn	measure	กรมอาชีวศึกษามีมาตรการต้านยาเสพติดแนวใหม่
เลข	lêːk	number; digit	เด็กผู้ชายส่วนใหญ่มักชอบเรียนเลขมากกว่าวิชาอื่นๆ
สาระ	sǎː ráʔ	content	กิจที่จะไปจับผีกันนั้นเป็นเรื่องน่าขันไร้สาระที่สุด
ฉลาด	tɕʰà làːt	wise, smart	การถือว่าเป็นคนเก่ง ต้องอย่าลืมว่าฉลาดแต่อย่างเดียวเท่านั้นไม่พอ ต้องเฉลียวด้วย
อนามัย	ʔà naː maj	sanitation	รัฐบาลได้เอาใจใส่กับอนามัยของประชาชนมากกว่าครึ่งศตวรรษแล้ว
วิทยุ	wít tʰá júʔ	radio	เมื่อภรรยาของข้าพเจ้าทราบข่าวจากวิทยุและหนังสือพิมพ์ เธอก็เป็นลมแล้วฟื้นอยู่หลายครั้ง
ขวบ	kʰùːap	years	ลูกของเธออายุจะชนขวบแล้ว
ประสงค์	pràʔ sǒŋ	wish; to desire	สินเชื่อนี้จะให้กับลูกค้าที่ประสงค์จะซ่อมแซมตกแต่งที่อยู่อาศัยเท่านั้น
แข็ง	kʰɛ̌ŋ	solid, hard, strong	ต้องรอให้ปูนปลาสเตอร์แข็งกว่านี้อีกถึงจะลงสีได้
หมา	mǎː	dog	เสียงเห่าของหมายามค่ำคืนเป็นสิ่งที่สมบุญจะต้องพึ่งพาอาศัยอยู่เสมอ
เศษ	sèːt	fraction; fragments	นกพื้นเมืองของคิวบามีลำตัวยาวประมาณสองนิ้ว หนักเพียงเศษหนึ่งส่วนสิบออนซ์
บรรยาย	ban jaːj	describe; lecture; explain	ผู้ประสบเหตุกำลังบรรยายเรื่องราวที่เกิดขึ้นให้ตำรวจฟัง
รางวัล	raːŋ wan	award; prize	คนเราชอบผู้ที่ให้รางวัลหรือความพึงพอใจแก่เรา มากกว่าผู้ที่ทำให้เราเสียผลประโยชน์
เงียบ	ŋîːap	silent	นิภาเงียบไปหลายเดือนแล้ว ไม่รู้ว่าเป็นอย่างไรบ้าง
ตึก	tɯ̀k	building	เจ้าของที่ดินมีโครงการจะก่อสร้างตึก 20 หลังบนที่ดินแปลงนี้
ความดี	kʰwaːm diː	goodness	ย่ากับฉันช่วยเหลือทำมาหากินช่วยเหลือครอบครัวมาโดยตลอดแต่ความดีไม่เคยเข้าตาอาเลย
มอบ	mɔ̂ːp	assign; commit; entrust	ฉันกับน้องช่วยกันมอบปากกระทงให้ดูเรียบร้อยสวยงาม
อบอุ่น	ʔòp ʔùn	warm; friendly	บริเวณแถบเขตศูนย์สูตรจะมีอุณหภูมิอบอุ่น มีอาหารอุดมสมบูรณ์สำหรับนกที่อพยพมา
เสียหาย	sǐːa hǎːj	damaged	ฟ้าผ่าบ้านคนและต้นไม้ล้มตายเสียหายอย่างหนัก
ไข่	kʰàj	eggs	แม่เต่าจะขึ้นมาไข่ไว้บนพื้นทรายที่ค่อนข้างแห้ง
ถึงขนาด	tʰɯ̌ŋ kʰà nàːt	size; magnitude; dimension	แตงโมโตมากถึงขนาดยกคนเดียวไม่ไหว
อุปสรรค	ʔùp pà sàk	obstacle, difficulty	ชาวไทยอีสานและชาวลาวเป็น 2 ชนชาติที่ไม่มีอุปสรรคด้านภาษาในการไปมาหาสู่กัน
ไหว้	wâj	to wai (prayer gesture)	แม่หนูรีบประนมมือไหว้ญาติผู้ใหญ่โดยพ่อไม่ต้องเตือน
ประกัน	pràʔ kan	insure; guarantee	หัวหน้าฝ่ายผลิตประกันความสามารถของเขา
แขน	kʰɛ̌ːn	arm	ผู้หญิงคนนี้มีแขนเรียวสวยราวกับแขนของนางละคร
สระ	sà ràʔ	pool; wash	หงส์คู่หนึ่งบินว่อนรอบสระเพื่อลงกินน้ำ
ขอบ	kʰɔ̀ːp	edge	เด็กเล็กๆ มักจะเดินชนขอบโต๊ะ
ก้าวหน้า	kâːw nâː	to progress; advance	วงการอุตสาหกรรมไทยก้าวหน้าไปอย่างรวดเร็ว
ขนม	kʰà nǒm	candy	อย่ากินขนมมากเพราะจะทำให้อ้วน
แพ้	pʰɛ́ː	lose	เขาแพ้อย่างไม่มีทางสู้ในการเลือกตั้งสมาชิกสภาเขต
นึกถึง	nɯ́k tʰɯ̌ŋ	think about; remember; regard	ฉันอาจจะนึกถึงแฟนเก่า แต่ความรู้สึกก็ไม่วาบหวามใจเหมือนแต่ก่อน
พื้นดิน	pʰɯ́ːn din	ground; land	เงินยวงเป็นวัตถุธาตุที่หายากมาก มีอยู่ในพื้นดิน โดยมีดินลูกรังหุ้มห่ออยู่เป็นเปลือกนอก
เจตนา	tɕèːt tà naː	intent	ในชีวิตนี้ข้าพเจ้าไม่เคยมีเจตนาจะทำให้ผู้อื่นเดือดร้อนหรือขุ่นเคืองใจเลย
ผ่อนคลาย	pʰɔ̀ːn kʰlaːj	relax	หมอต้องการให้เขาผ่อนคลายความวิตกกังวลลงบ้าง
เจ้านาย	tɕâw naːj	master, boss	ศาลนี้เป็นที่เคารพนับถือของพระเจ้าแผ่นดิน เจ้านายบางพระองค์ รวมทั้งคนทั่วไปด้วย
กำแพง	kam pʰɛːŋ	wall; barrier	ทหารพม่าสุมไฟทลายกำแพงที่สร้างไว้ได้สำเร็จ
นานา	naː naː	many; various	ในร้านนี้มีผลไม้นานาชนิดให้ลูกค้าได้เลือกซื้อ
บัญชี	ban tɕʰiː	account	เธอมีหน้าที่ทำบัญชีออกใบสั่งของ และออกใบเสร็จรับเงิน
ภูเขา	pʰuː kʰǎw	mountain	ภาพภูเขาที่เคยเขียวชอุ่มกลับเป็นเขาหัวโล้นไปหมดแล้ว
ถอน	tʰɔ̌ːn	withdraw; cancel	พล.อ.ชวลิตยงใจยุทธถอนตัวจากคณะรัฐบาล
แน่ใจ	nɛ̂ː tɕaj	sure	เขาแน่ใจว่าถ้าเขาวิ่งเต้นเขาก็คงจะได้สัญญาจ้างสร้างตึกหลังนี้
วัยรุ่น	waj rûn	young; teenager	มีผู้กล่าวว่านักแสดงนักร้องวัยรุ่นในบ้านเรานั้นส่วนมากจะเป็นผู้มีปัญหามาก่อน
ถนัด	tʰà nàt	be skilled; be convenient	เหตุผลของฝ่ายที่โต้แย้งจะมีอย่างไรบ้าง ตอนนี้ก็จำไม่ถนัดเสียแล้ว
เกียรติ	kìːat	honor; glory; fame	ในความเป็นทหาร เราย่อมให้เกียรติ และไม่ลดศักดิ์ศรีของผู้บังคับบัญชา
กระเป๋า	kràʔ pǎw	bag	กระเป๋ามีหลายแบบ เช่น กระเป๋าถือของผู้หญิง กระเป๋าใส่เสื้อผ้า กระเป๋าเอกสาร
อันดับ	ʔan dàp	level; grade; sequence	พระสงฆ์นั่งตามอันดับ ขณะที่สวดมนต์
ข้า	kʰâː	me; slave	ข้าอยากขอความช่วยเหลือจากเจ้าสักหน่อย
หญ้า	jâː	grass	หญ้าเป็นอาหารของสัตว์หลายชนิดไม่เฉพาะแต่ช้าง ม้า วัว และควาย
รอด	rɔ̂ːt	survive	ถ้าคนไทยร่วมกันทำธุรกิจนั้นจะไปรอดยาก เพราะไม่เข้าใจในการร่วมกันทำงาน
พึ่ง	pʰɯ̂ŋ	depend on	ก่อนที่จะพึ่งใคร เราจะต้องช่วยตัวเองก่อน
หน้าตา	nâː taː	feature	คนที่หน้าตาดีมักจะน่าประทับใจเมื่อแรกเห็น
บ้า	bâː	crazy	พี่ชายผมบ้าหวย ก่อนหวยออกทุกงวดชอบวิ่งหาเลขเด็ดกับพวกทรงเจ้าเข้าผีเป็นประจำ
แห้ง	hɛ̂ːŋ	dry	แกงขี้เหล็กจะต้องมีปลาสลิดแห้งแนมบนโต๊ะอาหาร
เกณฑ์	keːn	criterion; standard	การตัดพยางค์ในความเรียง อาจใช้พยางค์ในพจนานุกรมเป็นเกณฑ์ได้อย่างหนึ่ง
เหนื่อย	nɯ̀ːaj	tired	หุ่นยนต์ไม่เหมือนคนมันไม่รู้จักเหนื่อย และไม่รู้จักเบื่อ
วิชาชีพ	wíʔ tɕʰaː tɕʰîːp	profession	ค่านิยมของคนไทยโบราณคืออยากให้ลูกชายเจนจบในวิชาชีพต่างๆ
ค้าขาย	kʰáː kʰǎːj	trade; buy and sell	คนจีนแล่นเรือสำเภาบรรทุกสินค้าจากกรุงเทพฯ มาจอดที่หมู่บ้านสมอเรียงเพื่อค้าขายและซื้อไม้มะค่าบรรทุกกลับกรุงเทพฯ
คุ้มครอง	kʰúm kʰrɔːŋ	to protect; guard	แม่ทุกคนจะยอมสู้จนตัวตายเพื่อคุ้มครองลูกของตน
กิจ	kìt	work; duty; business	ผู้จัดการมีกิจที่จะต้องทำมากมายก่อนไปต่างประเทศ
เบื่อ	bɯ̀ːa	bored	ผมไปเห็นเพียงครั้งเดียวแล้วไม่อยากย้อนกลับไปดูอีกเพราะเบื่อ
ตู้	tûː	cabinet; box	ศิลปกรรมของไทยโบราณมีความละเอียดวิจิตรบรรจง ไม่ว่าจะเป็นตู้ โต๊ะ เตียงตั่ง คันฉ่อง เครื่องใช้ไม้สอยต่างๆ และสิ่งก่อสร้างต่างๆ
สัปดาห์	sàp daː	week	การคำนวณเหล่านี้บางครั้งอาจกินเวลาเป็นวันหรือเป็นสัปดาห์
ประสาท	pràʔ sàːt	nerve; crazy; mad	กัญชาเป็นยาเสพย์ติดแบบกระตุ้นประสาท
เทพ	tʰêːp	deity	ศาสนาพราหมณ์เชื่อว่าพระพรหมเป็นผู้สร้างโลกและมีเทพประจำธาตุต่างๆ ประจำสิ่งต่างๆ เช่น ฝนก็มีเทวดาของฝน
พิษ	pʰít	toxin; poison	พิษของงูเห่าทำอันตรายต่อระบบประสาท ทำให้กล้ามเนื้ออ่อนแรง ผู้ป่วยซึม และหายใจลำบาก
กำลังใจ	kam laŋ tɕaj	encouragement, spirit, moral support	นักกีฬาต้องการกำลังใจจากผู้ชม
ทีละ	tʰiː láʔ	at a time	บริษัทเลือกส่งสินค้าที่มีปัญหาค้างสต๊อกทีละมากๆ
ชั่วคราว	tɕʰûːa kʰraːw	temporarily	นักศึกษาเช่าหอพักอาศัยของเอกชนชั่วคราว ก่อนที่จะย้ายเข้าไปหอพักในมหาวิทยาลัย
ตัวเลข	tuːa lêːk	number	ตัวเลขคนว่างงานมีจำนวนสูงมากขึ้น ประมาณว่าขณะนี้เลย 3 ล้านคนไปแล้ว
เปิดเผย	pɤ̀ːt pʰɤ̌ːj	reveal	แหล่งข่าวเปิดเผยว่าผู้จัดการจะตั้งบริษัทใหม่เร็วๆ นี้
ฤทธิ์	rít	prosperity; might; enourmous ability or resource	คนไข้จะอยู่ในสภาพครึ่งหลับครึ่งตื่นเพราะฤทธิ์ของยาสลบ
วรรค	wák	space	ในภาษาไทย ถ้าใช้วรรคผิดก็ทำให้ความหมายของประโยคเปลี่ยนแปลงไปได้
ผืน	pʰɯ̌ːn	sheet	ที่ดินผืนนี้ ทางราชการตีราคาไร่ละเท่าใด
เบื้องหลัง	bɯ̂ːaŋ lǎŋ	background; back; rear	กรณีกบฎพระศรีศิลป์ มีขุนนางผู้ใหญ่ให้การสนับสนุนอยู่เบื้องหลัง
เศร้า	sâw	sad	เขากล่าวอย่างเศร้าๆ กับผู้สื่อข่าวถึงเรื่องที่เกิดขึ้น
ขับรถ	kʰàp rót	drive	วินัยขับรถไปตามถนนนี้เป็นประจำทุกวัน
แต่งตั้ง	tɛ̀ŋ tâŋ	appoint; name	ล่าสุดทางกระทรวงได้แต่งตั้งคณะกรรมการชุดหนึ่งขึ้นมา เพื่อผู้เป็นประสานงานศึกษาเรื่องราวและลู่ทางของโครงการนี้
เนื้อหา	nɯ́ːa hǎː	topic; overview; content	เนื้อหาที่อาจารย์บรรยายเป็นการแปลจากตำราฝรั่งเป็นส่วนมาก
ตอบแทน	tɔ̀ːp tʰɛːn	reward; compensate	ลูกๆ ควรตอบแทนพระคุณของพ่อแม่ด้วยการทำตัวเป็นคนดี
ทาน	tʰaːn	eat	การให้ทานไม่เคยทำให้ใครจน
สติ	sà tìʔ	consciousness	เพื่อความไม่ประมาทในชีวิต เราทุกคนควรจะมีสติอยู่เสมอ
ประหยัด	pràʔ jàt	save	ผู้คนต่างทำงานหนักเพื่อเลี้ยงตัวเองและครอบครัวและรู้จักประหยัดอดออมเพื่ออนาคตข้างหน้า
แต่งตัว	tɛ̀ŋ tuːa	to dress	เธอแต่งตัวมากเกินไปจนเสียบุคลิก
ตรงนี้	troŋ níː	here	หอตรงนี้เป็นโรงเรียนมาก่อน
ย่าง	jâːŋ	roast; walk	ร้านนี้ขายอาหารจีนตั้งแต่ก๋วยเตี๋ยวขึ้นไป จนหมูย่าง เป็ดย่างไก่ตอน อะไรต่อมิอะไรทุกอย่างได้ทั้งนั้น
ทรัพย์	sáp	wealth; possession; riches	รัฐมนตรีท่านนี้เป็นหนึ่งในรัฐมนตรี ที่จะถูกอายัดทรัพย์
เหล่า	làw	group; set; collection (classifier)	ความเป็นสังคมส่วนมากแล้วประกอบด้วยชนหลายชั้น หลายกลุ่ม หลายเหล่า
เผา	pʰǎw	burn	เขาเตรียมเผาปลาดุกในถังน้ำมันที่เขาดัดแปลงเป็นเตาเผา
แอบ	ʔɛ̀ːp	to hide; sneak	เด็กๆ วิ่งไปแอบเพื่อนอยู่หลังประตู
ดับ	dàp	extinguish; eliminate; stop	เขาดับเครื่องยนต์ไว้เพราะรถติดมากไม่ขยับเลย
สลับ	sà làp	switch; alternate	สนามแม่เหล็กที่กำเนิดจากไฟฟ้ากระแสสลับ อาจจะเป็นอันตรายต่อสุขภาพได้
ลาน	laːn	yard	การแข่งขันลานและลู่จะมีที่สนามกีฬาแห่งชาติ
ลาว	laːw	Lao	สินค้าที่มีทิศทางลงใต้ไปสู่ชุมชนไทยใหญ่และลาวก็คือเครื่องใช้โลหะ กับเกลือ
ตุลาคม	tùʔ laː kʰom	October	เดือนตุลาคมมักจะมีพายุพัดแรงเสมอ
ส่งออก	sòŋ ʔɔ̀ːk	export	ในปีนี้บริษัทตั้งเป้าไว้ว่าต้องผลิตสินค้าเพื่อส่งออกให้มากว่าเดิม 20 เปอร์เซ็นต์
กาลเวลา	kaːn weː laː	time; era	กาลเวลาช่างผ่านไปเร็วเหลือเกิน ไม่ทันไรก็ปีใหม่อีกแล้ว
หุ่น	hùn	puppet; figure	เธอรู้สึกว่าหุ่นของตัวเองไม่เหมาะสมกับเสื้อผ้าชุดนี้
กด	kòt	press	ถ้ามีอะไรเกิดขึ้น จงกดปุ่มสัญญานนี้
อดทน	ʔòt tʰon	endure; bear	กรรมกรคนนี้อดทนทำงานกับเถ้าแก่อยู่หลายปี
ศัตรู	sàt truː	enemy	เขาถึงตายด้วยน้ำมือของศัตรู
ว่าความ	wâːk waːm	conduct a case; try a case	ทนายในสำนักงานของผมไม่ค่อยว่าง เพราะต้องออกว่าความทุกวัน
โจร	tɕoːn	bandit; thief; burglar	เมื่อสมัยเป็นหนุ่ม เขาเป็นโจรที่คอยดักปล้นเรือสำเภาที่แล่นผ่านช่องแคบมะละกา
สมัคร	sà màk	apply; volunteer	ถ้าข้าราชการจะสมัครเข้ารับเลือกตั้ง จะต้องลาออกจากตำแหน่งเสียก่อน
ม่วง	mûːaŋ	purple	คนกั้นประตูมักร้องขอแบงค์ม่วงจากผู้ใหญ่ฝ่ายเจ้าบ่าว
การเงิน	kaːn ŋɤn	finance	ธนาคารพาณิชย์ถือเป็นสถาบันการเงินที่มีความมั่นคงสถาบันหนึ่ง
ท้าทาย	tʰáː tʰaːj	challenge	นายมารวยท้าทายให้ผมนำเรื่องนี้เสนอคณะกรรมการตลาดหลักทรัพย์ฯ
เครื่องบิน	kʰrɯ̂ːaŋ bin	plane	ระยะทางระหว่างญี่ปุ่นกับเมืองไทยใกล้กันมากใช้เวลาเดินทางโดยเครื่องบินเพียงแค่ 6 ชั่วโมงเท่านั้น
ถ้าหาก	tʰâː hàːk	if	ชาติบ้านเมืองจะสลายลงถ้าหากเราไม่สามัคคีกัน
ขนส่ง	kʰǒn sòŋ	transport	ธุรกิจด้านการขนส่งจะได้รับความกระทบกระเทือนจากการที่น้ำมันมีราคาสูงขึ้น
รัชกาล	rát tɕʰá kaːn	a reign	ประตูป้อมนี้เป็นประตูเก่าของวังหน้า สร้างในสมัยรัชกาลที่ 5
ไม่ทัน	mâj tʰan	cannot; not on time	ไกด์พูดอะไรเราก็ไม่ทันฟัง
คิดเห็น	kʰít hěn	comment; discuss	ผู้ร่วมอภิปรายต่างก็คิดเห็นต่างกันไปในหัวข้อที่ว่า คนชราน่าเห็นใจกว่าเด็ก
แฝง	fɛ̌ːŋ	conceal; cover; hide up	นางมีฐานะที่คนค่อนข้างเกรง เพราะเชื่อว่ามีอำนาจพิเศษแฝงอยู่
ผูกพัน	pʰùːk pʰan	to have one's heart; be tied to	หากข้าเกิดในภวันดรใดๆ ขอให้ข้าได้ผูกพันกับเจ้าอีกครั้ง
ธิดา	tʰíʔ daː	daughter	ธิดาของเศรษฐีเป็นคนใจบุญต่างกับบิดา-มารดา
สะพาน	sàʔ pʰaːn	bridge	กลุ่มบุคคลเหล่านี้จะเป็นสะพานที่จะเชื่อมโยงให้รู้ว่า จะสามารถตามตัวแก๊งซามูไรแก๊งนี้
ฝัง	fǎŋ	bury	คนโบราณนิยมนำทรัพย์สมบัติใส่ตุ่มฝังดิน
วินิจฉัย	wíʔ nít tɕʰǎj	diagnose; to investigate	แพทย์ยังวินิจฉัยไม่ได้ว่าคนไข้เป็นอะไร
ทีม	tʰiːm	team	ความสำเร็จของงานต้องยกให้ทีมงานที่อยู่เบื้องหลังของงาน
สอดคล้อง	sɔ̀ːt kʰlɔ́ːŋ	conform to; tally with; be in line	ครูจำเป็นจะต้องจัดทำบทเรียนให้สอดคล้องกับการเรียนรู้ของนักเรียน
ศรัทธา	sàt tʰaː	believe in; have trust	พฤติกรรมของนักการเมืองทำให้คนเสื่อมศรัทธา ไม่อยากเลือกตั้งอีก
ย้อนกลับ	jɔ́ːn klàp	turn back; return	ผมขับรถเกือบจะถึงจุดหมายอยู่แล้ว แต่ต้องย้อนกลับบ้านเพราะลืมเอกสารสำคัญ
หลบ	lòp	dodge; avoid	ตำรวจสงสัยเป็นกำลังว่าผู้ต้องหาหลบหนีไปได้อย่างไร
สลาย	sà lǎːj	break up; disintegrate	ความเชื่อนี้ได้สลายไปเนื่องจากผลการทดลองไม่ประสบความสำเร็จเท่าที่ควร
ท่อน	tʰɔ̂ːn	piece; bit; strip	ช่างไม้เลื่อยไม้เป็นท่อนเล็กๆ
หยิบ	jìp	pick up; grasp	ห้ามใช้มือเปล่าหยิบสารเคมีฆ่าแมลงหรือเมล็ดฝ้ายที่คลุกสารเคมีฆ่าแมลงเป็นอันขาด
สมาคม	sà maː kʰom	association; corporation	สมาคมเล็งเห็นความสำคัญของเยาวชนจึงจัดให้มีกิจกรรมนี้ขึ้น
